depcode,depname
2101,ช่างยนต์
2102,ช่างกลโรงงาน
2103,ช่างเชื่อมโลหะ
2104,ช่างไฟฟ้ากำลัง
2105,ช่างอิเล็กทรอนิกส์
2106,ช่างก่อสร้าง
2108,สถาปัตยกรรม
2110,ช่างเขียนแบบเครื่องกล
2111,ช่างซ่อมบำรุง
2128,เทคนิคคอมพิวเตอร์
2204,คอมพิวเตอร์ธุรกิจ
2901,เทคโนโลยีสารสนเทศ
3101,เทคนิคเครื่องกล
3102,เทคนิคการผลิต
3103,เทคนิคโลหะ
3104,ไฟฟ้า
3105,อิเล็กทรอนิกส์
3106,ช่างก่อสร้าง
3108,เทคนิคสถาปัตยกรรม
3110,เขียนแบบเครื่องกล
3111,เทคนิคอุตสาหกรรม
3127,เมคคาทรอนิกส์
3133,ช่างเทคนิคระบบขนส่งทางราง
3901,เทคโนโลยีสารสนเทศ
